Comment,Designator,Footprint,LCSC
22pF,"C3,C4",C_0402_1005Metric,C106203
ATmega32U4-M,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
1k,R6,R_0402_1005Metric,C11702
Crystal_GND24_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C133336
0.1uF,"C1,C2,C5,C7",C_0402_1005Metric,C1525
Conn_01x04_MountingPin,J1,JST-SR-4,C160404
1uF,C6,C_0402_1005Metric,C182246
2N2222,Q1,SOT-23,C2150
10uF,C8,C_0402_1005Metric,C237279
22,"R1,R2",R_0402_1005Metric,C25092
PRTR5V0U2X,D25,SOT-143,C2827688
10k,"R3,R4",R_0402_1005Metric,C3015825
220 ohm,"R8,R9",R_0402_1005Metric,C316269
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D5,D6,D7,D8,D9",D_SOD-123F,C64898
500mA,F1,Fuse_1206_3216Metric,C70076
SW_Push_45deg,SW33,MXOnly-1U-NoLED,
SW_Push_45deg,SW15,MXOnly-1U-NoLED,
SW_Push_45deg,SW36c1,MXOnly-7U-ReversedStabilizers-NoLED,
SW_Push_45deg,SW7,MXOnly-1U-NoLED,
SW_Push_45deg,SW27,MXOnly-1U-NoLED,
SW_Push_45deg,SW34b1,MXOnly-3U-ReversedStabilizers-NoLED,
SW_Push_45deg,SW14,MXOnly-1U-NoLED,
SW_Push_45deg,SW33a1,MXOnly-1U-NoLED,
SW_Push_45deg,SW9,MXOnly-1U-NoLED,
LED,D42,LED_3mm,
SW_Push_45deg,SW29,MXOnly-1U-NoLED,
SW_Push_45deg,SW8,MXOnly-1U-NoLED,
SW_Push_45deg,SW35b1,MXOnly-2U-ReversedStabilizers-NoLED,
SW_Push_45deg,SW2,MXOnly-1U-NoLED,
SW_Push_45deg,SW34,MXOnly-1U-NoLED,
SW_Push_45deg,SW24,MXOnly-1U-NoLED,
SW_Push_45deg,SW31,MXOnly-1.5U-NoLED,
SW_Push_45deg,SW37a1,MXOnly-1U-NoLED,
SW_Push_45deg,SW20,MXOnly-1U-NoLED,
SW_Push_45deg,SW5,MXOnly-1U-NoLED,
SW_Push_45deg,SW40a1,MXOnly-1U-NoLED,
SW_Push_45deg,SW35,MXOnly-1U-NoLED,
SW_Push_45deg,SW31a1,MXOnly-1U-NoLED,
SW_Push_45deg,SW38,MXOnly-1U-NoLED,
SW_Push_45deg,SW12,MXOnly-1U-NoLED,
SW_Push_45deg,SW22,MXOnly-1U-NoLED,
SW_Push_45deg,SW36a1,MXOnly-1.5U-NoLED,
SW_Push_45deg,SW36b1,MXOnly-2U-ReversedStabilizers-NoLED,
SW_Push_45deg,SW10,MXOnly-1U-NoLED,
SW_Push_45deg,SW35c1,MXOnly-6U-Centered-ReversedStabilizers-NoLED,
SW_Push_45deg,SW6,MXOnly-1U-NoLED,
SW_Push_45deg,SW19,MXOnly-1U-NoLED,
SW_Push_45deg,SW3,MXOnly-1U-NoLED,
SW_Push_45deg,SW17,MXOnly-1U-NoLED,
SW_Push_45deg,SW39,MXOnly-1U-NoLED,
SW_Push_45deg,SW11,MXOnly-1U-NoLED,
SW_Push_45deg,SW21,MXOnly-1U-NoLED,
SW_Push_45deg,SW16,MXOnly-1U-NoLED,
SW_Push_45deg,SW18,MXOnly-1U-NoLED,
RotaryEncoder_Switch,SW42,RotaryEncoder_EC11-no-legs,
SW_Push_45deg,SW32a1,MXOnly-1U-NoLED,
SW_Push_45deg,SW37b1,MXOnly-3U-ReversedStabilizers-NoLED,
SW_Push_45deg,SW34a1,MXOnly-1U-NoLED,
SW_Push_45deg,SW36,MXOnly-1U-NoLED,
SW_Push_45deg,SW28,MXOnly-1U-NoLED,
SW_Push_45deg,SW1,MXOnly-1U-NoLED,
SW_Push_45deg,SW40,MXOnly-1.5U-NoLED,
SW_Push_45deg,SW39a1,MXOnly-1U-NoLED,
SW_Push_45deg,SW37,MXOnly-1U-NoLED,
SW_Push_45deg,SW4,MXOnly-1U-NoLED,
SW_Push_45deg,SW35a1,MXOnly-1.5U-NoLED,
SW_Push_45deg,SW32,MXOnly-1U-NoLED,
SW_Push_45deg,SW26,MXOnly-1U-NoLED,
SW_Push_45deg,SW30,MXOnly-1U-NoLED,
SW_Push_45deg,SW38a1,MXOnly-1U-NoLED,
SW_Push_45deg,SW13,MXOnly-1U-NoLED,
RotaryEncoder_Switch,SW41,RotaryEncoder_EC11-no-legs,
SW_Push_45deg,SW25,MXOnly-1U-NoLED,
SW_Push_45deg,SW23,MXOnly-1U-NoLED,
Conn_01x03,J3,PinSocket_1x03_P2.00mm_Vertical,
Speaker,LS1,AST1109MLTRQ,
1k,R5,Diode-Hybrid-Back,
LED,D43,LED_3mm,
SW_Push,SW_Reset1,SKQG-1155865,
AVR-ISP-6,J2,Reset_Pretty-Mask,
