Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",-38.925500,-66.639250,90.000000,bottom
"C2","0.1uF","C_0402_1005Metric",-37.020500,-77.434250,-135.000000,bottom
"C3","22pF","C_0402_1005Metric",-45.783500,-63.337250,-90.000000,bottom
"C4","22pF","C_0402_1005Metric",-38.798500,-63.337250,90.000000,bottom
"C5","0.1uF","C_0402_1005Metric",-47.498000,-70.104000,0.000000,bottom
"C6","1uF","C_0402_1005Metric",-35.750500,-72.100250,180.000000,bottom
"C7","0.1uF","C_0402_1005Metric",-44.831000,-77.851000,-90.000000,bottom
"C8","10uF","C_0402_1005Metric",-35.115500,-70.957250,180.000000,bottom
"D1","D_Small","D_SOD-123",-44.450000,-41.275000,90.000000,bottom
"D2","D_Small","D_SOD-123",-53.975000,-60.325000,90.000000,bottom
"D3","D_Small","D_SOD-123",-63.500000,-79.375000,90.000000,bottom
"D4","D_Small","D_SOD-123",-49.212500,-101.600000,90.000000,bottom
"D5","D_Small","D_SOD-123",-63.500000,-41.275000,90.000000,bottom
"D6","D_Small","D_SOD-123",-73.025000,-60.325000,90.000000,bottom
"D7","D_Small","D_SOD-123",-82.550000,-79.375000,90.000000,bottom
"D8","D_Small","D_SOD-123",-73.025000,-101.600000,90.000000,bottom
"D9","D_Small","D_SOD-123",-82.550000,-41.275000,90.000000,bottom
"D10","D_Small","D_SOD-123",-92.075000,-60.325000,90.000000,bottom
"D11","D_Small","D_SOD-123",-101.600000,-79.375000,90.000000,bottom
"D12","D_Small","D_SOD-123",-92.075000,-101.600000,90.000000,bottom
"D13","D_Small","D_SOD-123",-101.600000,-41.275000,90.000000,bottom
"D14","D_Small","D_SOD-123",-111.125000,-60.325000,90.000000,bottom
"D15","D_Small","D_SOD-123",-120.650000,-79.375000,90.000000,bottom
"D16","D_Small","D_SOD-123",-111.125000,-101.600000,90.000000,bottom
"D17","D_Small","D_SOD-123",-120.650000,-41.212500,90.000000,bottom
"D18","D_Small","D_SOD-123",-130.175000,-60.325000,90.000000,bottom
"D19","D_Small","D_SOD-123",-139.700000,-79.375000,90.000000,bottom
"D20","D_Small","D_SOD-123",-139.700000,-101.600000,90.000000,bottom
"D21","D_Small","D_SOD-123",-139.700000,-41.275000,90.000000,bottom
"D22","D_Small","D_SOD-123",-149.225000,-60.325000,90.000000,bottom
"D23","D_Small","D_SOD-123",-158.750000,-79.375000,90.000000,bottom
"D24","D_Small","D_SOD-123",-158.750000,-101.600000,90.000000,bottom
"D25","PRTR5V0U2X","SOT-143",-230.505000,-46.101000,0.000000,bottom
"D26","D_Small","D_SOD-123",-158.750000,-41.275000,90.000000,bottom
"D27","D_Small","D_SOD-123",-168.275000,-60.325000,90.000000,bottom
"D28","D_Small","D_SOD-123",-177.800000,-79.375000,90.000000,bottom
"D29","D_Small","D_SOD-123",-177.800000,-101.600000,90.000000,bottom
"D30","D_Small","D_SOD-123",-177.800000,-41.275000,90.000000,bottom
"D31","D_Small","D_SOD-123",-187.325000,-60.325000,90.000000,bottom
"D32","D_Small","D_SOD-123",-196.850000,-79.375000,90.000000,bottom
"D33","D_Small","D_SOD-123",-196.850000,-101.600000,90.000000,bottom
"D34","D_Small","D_SOD-123",-196.850000,-41.275000,90.000000,bottom
"D35","D_Small","D_SOD-123",-206.375000,-60.325000,90.000000,bottom
"D36","D_Small","D_SOD-123",-215.900000,-79.375000,90.000000,bottom
"D37","D_Small","D_SOD-123",-215.900000,-101.600000,90.000000,bottom
"D38","D_Small","D_SOD-123",-215.900000,-41.275000,90.000000,bottom
"D39","D_Small","D_SOD-123",-225.425000,-60.325000,90.000000,bottom
"D40","D_Small","D_SOD-123",-234.950000,-79.375000,90.000000,bottom
"D41","D_Small","D_SOD-123",-234.950000,-101.600000,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",-233.807000,-48.768000,-90.000000,bottom
"J1","Conn_01x04_MountingPin","JST-SR-4",-225.950000,-38.100000,90.000000,bottom
"R1","22","R_0402_1005Metric",-34.861500,-74.259250,0.000000,bottom
"R2","22","R_0402_1005Metric",-34.861500,-73.243250,0.000000,bottom
"R3","10k","R_0402_1005Metric",-36.068000,-66.575750,-90.000000,bottom
"R4","10k","R_0402_1005Metric",-47.625000,-75.438000,0.000000,bottom
"R8","220 ohm","R_0402_1005Metric",-239.712500,-44.450000,90.000000,bottom
"R9","220 ohm","R_0402_1005Metric",-239.769074,-38.100000,90.000000,bottom
"U1","ATmega32U4-M","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",-42.037000,-72.417750,0.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",-42.354500,-63.337250,180.000000,bottom
