Comment,Designator,Footprint,LCSC
22pF,"C3,C4",C_0402_1005Metric,C106203
ATmega32U4-M,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
1k,R6,R_0402_1005Metric,C11702
Crystal_GND24_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C133336
500mA,F1,Fuse_1206_3216Metric,C155093
Conn_01x04_MountingPin,J1,JST-SR-4,C160404
0.1uF,"C1,C2,C5,C7",C_0402_1005Metric,C161338
1uF,C6,C_0402_1005Metric,C182246
2N2222,Q1,SOT-23,C2150
10uF,C8,C_0402_1005Metric,C237279
22,"R1,R2",R_0402_1005Metric,C25092
PRTR5V0U2X,D25,SOT-143,C2827688
220 ohm,"R8,R9",R_0402_1005Metric,C316269
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D5,D6,D7,D8,D9",D_SOD-123,C64898
10k,"R3,R4",R_0402_1005Metric,C77131
